Nazwa,Efekt,Opis
Sabotaż Laboratoryjny,"Wybierz gracza. Jego następne badanie wymaga +2 heksy do ukończenia.","Tajemniczy awaria sprzętu, wyciekające reaktywy i uszkodzone próbki opóźniają kluczowe eksperymenty."
Przeciek Danych,"Wybierz gracza który ukończył badanie w tej rundzie. Otrzymujesz nagrodę za zakończenie tego badania.","Poufne wyniki wyciekają do sieci, umożliwiając konkurencji replikację eksperymentów."
Lobbying Grantowy,"Następny gracz w kolejności musi przepuścić fazę grantów w tej rundzie.","Intensywne działania lobbingowe blokują dostęp konkurencji do kluczowych źródeł finansowania."
Przekupstwo Recenzenta,"Wybierz gracza. Jego następna publikacja nie daje punktów PZ.","Skorumpowany recenzent odrzuca przełomowe odkrycie, argumentując brakiem rygoryzmu naukowego."
Szpiegostwo Przemysłowe,"Sprawdź rękę wybranego gracza i zabierz mu losową kartę.","Agenci korporacyjni infiltrują laboratorium, wykradając cenne informacje o prowadzonych projektach."
Kryzys Finansowy,"Wszyscy gracze tracą 3K. Ty odzyskujesz 6K.","Manipulacja rynkiem finansowym rujnuje konkurencję, podczas gdy Twoje inwestycje prosperują."
Skandal Etyczny,"Wybierz gracza. Musi wydać 5K lub stracić 2 punkty Reputacji.","Media ujawniają kontrowersyjne eksperymenty, zmuszając do kosztownych działań naprawczych."
Wojna Patentowa,"Blokuj następne ukończone badanie wybranego gracza - nie może otrzymać za nie nagród.","Długotrwały spór patentowy uniemożliwia komercjalizację przełomowego odkrycia."
Dezinformacja,"Wszyscy gracze muszą odrzucić 1 kartę z ręki. Ty dobierasz 2 karty.","Kampania dezinformacji dezorganizuje konkurencję, podczas gdy Ty zdobywasz przewagę informacyjną."
Korupcja Komisji,"W tej rundzie Twoje granty kosztują 1 PA mniej (minimum 0).","Komisja grantowa faworyzuje Twoje wnioski dzięki wcześniejszym 'nieoficjalnym rozmowom'."
Hakowanie Baz Danych,"Sprawdź 3 karty z wierzchu talii 'Projekty Badawcze' i weź jedną do ręki.","Cyberatak na międzynarodowe bazy danych naukowych ujawnia najbardziej obiecujące kierunki badań."
Szantaż Medialny,"Wybierz gracza. Musi Ci zapłacić 4K lub stracić następną turę.","Kompromitujące materiały zmuszają konkurenta do ustępstw lub paraliżują jego działalność."
Przeciążenie Naukowe,"Wybierz gracza. Jego naukowcy w następnej rundzie dają o 1 heks mniej każdy.","Stres i przemęczenie personelu skutkuje znacznym spadkiem wydajności badawczej."
Manipulacja Giełdowa,"Wszyscy gracze oprócz Ciebie tracą 2K za każdy ukończony projekt konsorcjum.","Manipulacje na rynku technologicznym karią tych, którzy zainwestowali w współpracę naukową."
Kradzież Intelektualna,"Wybierz gracza z minimum 1 naukowcem. Otrzymujesz 3 PB i 2K natychmiast.","Pozyskanie kluczowego eksperta razem z jego unikalnymi metodami i kontaktami branżowymi."
Fałszywe Publikacje,"Wybierz gracza. Jego następne 2 publikacje dają o 1 PZ mniej każda.","Skandal z fałszywymi danymi rzuca cień na wiarygodność przyszłych publikacji konkurenta."
Infiltracja Konsorcjum,"Dołącz do konsorcjum innego gracza bez płacenia kosztów wstępu.","Twoi agenci infiltrują konkurencyjne konsorcjum, zdobywając dostęp do poufnych projektów."
Blokada Eksportowa,"Wybierz gracza. Zablokuj jednego z jego naukowców do końca rundy (nie może być aktywowany).","Międzynarodowe sankcje i blokady wizowe wymuszają exodus kluczowego personelu naukowego."
Czarna Propaganda,"Wszyscy gracze oprócz Ciebie tracą 1 punkt Reputacji. Ty zyskujesz 1 punkt Reputacji.","Medialny atak na konkurencję przedstawia ich jako nieodpowiedzialnych, podczas gdy Ty jesteś wzorem cnót."
Kontrolowana Opozycja,"Zablokuj wybraną kartę Kryzysu - nie ma ona efektu w tej rundzie. Dobierz kartę.","Twoje wpływy polityczne neutralizują kryzys, a Ty wykorzystujesz chaos dla własnych celów."
