Typ,Imię i Nazwisko,Dziedzina,Pensja,Bonus Heksów,Specjalny Bonus,Opis,Cytat
Doktor,Dr Sarah Chen,Fizyka,2K,2,+1 PZ za każdą publikację w czasopismach fizycznych,Pionierka algorytmów obliczeniowych,"Algorytm to przepis na sukces. Niestety, mój algorytm na randki wciąż wywala błąd segmentacji."
Doktor,Dr Klaus Weber,Fizyka,2K,2,Badania fizyczne wymagają -1 heks do ukończenia,Ekspert w teorii strun i kosmologii,"Mówią, że ciągi to teoria wszystkiego. Ja mówię, że wszystko to teoria ciągów... włącznie z moimi budżetami."
Doktor,Dr Hans Mueller,Fizyka,2K,2,+2K za każde założone konsorcjum,Specjalista od detektorów cząstek elementarnych,"Wykrywam cząstki elementarne, ale wciąż nie mogę wykryć, gdzie podziały się moje skarpetki."
Profesor,Prof. Lisa Wang,Fizyka,3K,3,+1 heks przy wszystkich badaniach za każdego zatrudnionego fizyka,Autorytet w dziedzinie fizyki obliczeniowej,"Fizyka obliczeniowa wyjaśnia wszechświat. Ale nie wyjaśnia, dlaczego komputer zawiesił się przed prezentacją."
Profesor,Prof. Chen Robotics,Fizyka,3K,3,+3K natychmiast za każde ukończone badanie dotyczące technologii/robotyki,Twórca zaawansowanych systemów mechanicznych,"Roboty przejmą świat. Na razie przejmują tylko mój budżet badawczy."
Doktor,Dr Maria Gonzalez,Biologia,2K,2,"Kiedy zagrywasz badanie biologiczne, połóż jeden heks na startowe pole",Badaczka nad terapiami genowymi,"Terapia genowa może naprawić DNA, ale czy naprawi moje relacje z rodziną na święta?"
Doktor,Dr Ahmed Hassan,Fizyka,2K,2,Publikacje w czasopismach fizycznych kosztują -1 PB,Ekspert w kwantowej mechanice,"W mechanice kwantowej kot jest żywy i martwy. W moim laboratorium - tylko głodny."
Profesor,Prof. Einstein Clone,Fizyka,3K,3,+3 PZ za każde ukończone badanie kosmologiczne/relatywistyczne,Teoretyk zajmujący się grawitacją,"E=mc². Ale moja energia równa się kawie do kwadratu."
Doktor,Dr Emma Thompson,Biologia,2K,2,Zatrudnienie biologów kosztuje -1K,Pionierka badań nad mózgiem,"Badam mózg od 20 lat i wciąż nie wiem, dlaczego mój używa 'password123' jako hasła."
Doktor,Dr Yuki Tanaka,Chemia,2K,2,+1 PB za każde ukończone badanie chemiczne,Specjalistka od nanomateriałów,"Nanomateriały są przyszłością. Szkoda, że moja pensja też jest w nanoskali."
Profesor,Prof. James Miller,Fizyka,3K,3,+2 PB natychmiast za każde ukończone badanie dotyczące kosmosu,Odkrywca egzoplanet i czarnych dziur,"Odkryłem 47 egzoplanet. Żadna nie ma dobrej pizzy."
Doktor,Dr Nina Petrov,Chemia,2K,2,+1 PZ za publikacje w czasopismach chemicznych,Ekspertka od syntezy organicznej,"Synteza organiczna to jak gotowanie - jeden błąd i eksploduje Ci laboratorium."
Doktor,Dr Oliver Brown,Fizyka,2K,2,+2K gdy ukończysz badanie fizyczne,Specjalista od bezpieczeństwa systemów,"Jestem ekspertem od bezpieczeństwa. Dlatego używam 47 różnych haseł... zapisanych na karteczce."
Profesor,Prof. Anna Kowalski,Biologia,3K,3,+1K na początku każdej rundy jeśli masz rozpoczęte badanie biologiczne,Liderka projektów genetycznych,"Geny determinują wszystko. Niestety, włącznie z moją niezdolnością do zapamiętywania imion studentów."
