Opis,Cytat
"W imię postępu ludzkości i jedności nauki, wzywamy wszystkie instytucje badawcze do złożenia swych sił w wielkim przedsięwzięciu. Niech konkurencja ustąpi miejsca współpracy, a rywalizacja - wspólnemu dążeniu do prawdy. Tylko razem możemy sięgnąć gwiazd i rozwikłać największe tajemnice wszechświata.","»Jeśli widziałem dalej, to dlatego, że stałem na ramionach gigantów.« - Isaac Newton"
"Święta to chwila, gdy umysły najjaśniejsze łączą się w niepodzielnym dążeniu do wiedzy. Niech żaden sekret natury nie oprze się naszemu wspólnemu wysiłkowi, niech żadne wyzwanie nie pokona naszej jedności. W nauce siła, we współpracy - wielkość.","»Jeden może iść szybciej, ale razem dojdziemy dalej.« - Przysłowie afrykańskie"
"Gdy pojedynczy geniusz sięga swych granic, consortia naukowe przekraczają niemożliwe. Zapraszamy was, szlachetni badacze, do uczestnictwa w przedsięwzięciu, które na zawsze zmieni oblicze ludzkiej cywilizacji. Razem napiszemy nowy rozdział w księdze poznania.","»Prawdziwa nauka uczy nas wątpić i ignorancji się wystrzegać.« - Claude Bernard"
"Od czasów wielkich filozofów starożytności, nauka była wspólnym dziedzictwem całej ludzkości. Dziś, wobec wyzwań przekraczających siły pojedynczych instytucji, wzywamy do odnowienia tej świętej tradycji. Połączmy nasze laboratoria, nasze umysły, nasze serca.","»Nauka jest wspólną własnością ludzkości, a uczony jest jej sługa.« - Louis Pasteur"
"Jak niegdyś współpracowali uczeni w Aleksandrii, tak i dziś musimy połączyć siły w obliczu wyzwań przewyższających najśmielsze marzenia przeszłości. Niech każdy wniesie cząstkę swej mądrości do wspólnego dzieła, które przetrwa wieki.","»Mądrość nie jest produktem edukacji, ale próbą całego życia, by ją zdobyć.« - Albert Einstein"
"W duchu braterstwa naukowego i wzajemnego szacunku, zapraszamy was do udziału w projekcie, który wymaga najlepszego z każdej dyscypliny. Niech nasze różnice staną się naszą siłą, a konkurencja przemieni się we współtworzenie.","»Nauka ma jedną wiarę, jedną tradycję - tradycję prawdy.« - Max Planck"
"Prawdziwa nauka nie zna granic narodowości, języka czy tradycji. Jest uniwersalna jak prawa fizyki, piękna jak matematyka, hojna jak sama natura. Dołączcie do nas w tym szlachetnym przedsięwzięciu, które połączy najlepsze umysły naszej epoki.","»Nauka jest jedynym uniwersalnym językiem, który łączy ludzkość.« - Carl Sagan"
"Uroczyście zobowiązujemy się do dzielenia wiedzy, zasobów i natchnienia w imię wspólnego celu. Niech nasza współpraca stanie się wzorem dla przyszłych pokoleń uczonych, dowodem na to, że jedność jest mocniejsza niż rywalizacja.","»Dzielenie się wiedzą to jedyna droga do nieśmiertelności.« - Buddha"
"W obliczu wyzwań, które żadna pojedyncza instytucja nie może pokonać samotnie, wzywamy do utworzenia świętego związku umysłów. Połączmy nasze zasoby, doświadczenie i marzenia, by razem osiągnąć to, co niemożliwe dla jednostki.","»Współpraca jest dokładnie tym, czego człowiek potrzebuje do szczęścia i postępu.« - Charles Darwin"
"Pierwszorodne braterstwo nauki wzywa wszystkich prawdziwych badaczy do wspólnego czynu. Niech nasze laboratoria staną się jednym, nasze odkrycia - wspólnym dziedzictwem, a nasze nazwiska - złączone na wieki w historii wielkiego postępu.","»W nauce nie ma dróg królewskich, a do jej świetlistych szczytów dochodzą tylko ci, którzy nie lękają się męczarnego wspinania.« - Karol Marks"
"W tradycji najszlachetniejszych zakonów naukowych, ustanawiamy świętą wspólnotę badaczy. Każdy członek wnosi swą unikalną wiedzę, otrzymując w zamian dostęp do mądrości całej społeczności. Razem jesteśmy moudrzejsi niż suma naszych części.","»Prawdziwa nauka traktuje rozum jako narzędzie i doświadczenie jako materiał budulcowy.« - Francis Bacon"
"Na najwyższym szczeblu współpracy naukowej, gdzie ambicje jednostek ustępują miejsca wspólnej wizji, zapraszamy was do udziału w przedsięwzięciu godnym największych umysłów. Niech przyszłość zapamiętuje nas jako pokolenie, które potrafiło współpracować.","»Wielkie odkrycia i polepszenia niezmiennie wymagają współpracy wielu umysłów.« - Alexander Graham Bell"
"Wieczysty związek nauki łączy nie tylko nasze instytucje, ale nasze serca i dusze w dążeniu do prawdy. Przyrzekamy sobie wzajemną pomoc, szczerość w podziale odkryć i niestrudzony wysiłek dla dobra całej ludzkości.","»Prawda naukowa zawsze triumfuje, ale tylko wtedy, gdy jej przeciwnicy wymierają.« - Max Planck"
"Wielka wspólnota uczonych otwiera swe podwoje dla wszystkich szlachetnych umysłów gotowych poświęcić się wspólnej sprawie. Niech nasza współpraca stanie się latarnią morską dla przyszłych pokoleń, wskazującą drogę do prawdziwej wielkości nauki.","»Nauka nie ma ojczyzny, lecz uczony musi ją mieć.« - Marie Curie"
"Przy uczcie mądrości, gdzie każdy uczestnik wnosi swe najcenniejsze odkrycia, rodzi się coś więcej niż suma składników - rodzi się przyszłość. Zapraszamy was do tego szlachetnego biesiadowania umysłów, gdzie współpraca przeważa nad konkurencją.","»Jedyną drogą do osiągnięcia niemożliwego jest wierzyć, że jest możliwe.« - Lewis Carroll"
