Nazwa,Efekt,Opis
Pandemia Globalna,"Wszyscy tracą 1 Reputację. Nie można zatrudniać w tej rundzie. Badania biologiczne wymagają +1 heks.","Światowa pandemia paraliżuje współpracę naukową, ogranicza mobilność personelu i komplikuje badania biologiczne."
Cięcia Budżetowe,"Wszyscy gracze tracą 30% swoich Kredytów (zaokrąglij w dół). Granty w następnej rundzie dają 2K mniej.","Globalny kryzys finansowy zmusza rządy do drastycznych cięć w finansowaniu nauki."
Cyberatak,"Każdy gracz traci 1 losową kartę z ręki. Badania fizyczne wymagają +1 heks (systemy komputerowe uszkodzone).","Masowy atak hakerski na infrastrukturę naukową niszczy dane i paraliżuje systemy obliczeniowe."
Kryzys Energetyczny,"Wszyscy płacą +1K za każdą akcję w tej rundzie. Konsorcja kosztują +2 PA do założenia.","Niedobory energii drastycznie podnoszą koszty prowadzenia laboratoriów i utrudniają współpracę."
Skandal Naukowy,"Gracz z najwyższą Reputacją traci 3 punkty Reputacji. Wszyscy inni tracą 1 punkt. Publikacje dają o 1 PZ mniej.","Afera z fałszowaniem wyników wstrząsa światem nauki, podważając zaufanie do badań."
Wojna Handlowa,"Gracze nie mogą kupować kart od siebie nawzajem w tej rundzie. Import sprzętu kosztuje +2K.","Międzynarodowe napięcia utrudniają wymianę naukową i podnoszą koszty sprzętu badawczego."
Katastrofa Naturalna,"Każdy gracz musi odrzucić 1 naukowca (do wyboru) lub zapłacić 5K za ewakuację.","Trzęsienie ziemi/huragan niszczy laboratoria i zmusza do ewakuacji lub poniesienia ogromnych kosztów."
Regulacje Etyczne,"Badania wymagające więcej niż 4 heksów kosztują +3K do rozpoczęcia. Reputacja poniżej 2 blokuje granty.","Nowe, surowe przepisy etyczne drastycznie utrudniają prowadzenie zaawansowanych eksperymentów."
Kryzys Klimatyczny,"Badania chemiczne wymagają +1 heks. Wszyscy płacą +1K za każde ukończone badanie (koszty środowiskowe).","Ekstremalne zjawiska pogodowe komplikują prace laboratoryjne i podnoszą koszty operacyjne."
Recesja Gospodarcza,"Wszyscy tracą 2K na początku każdej rundy do końca gry. Pensje wszystkich naukowców +1K.","Długotrwała recesja podnosi koszty życia i zmusza do podwyżek, jednocześnie zmniejszając budżety."
Emigracja Mózgów,"Każdy gracz z więcej niż 3 naukowcami traci 1 naukowca (najdroższego). Nowi naukowcy kosztują +1K pensji.","Brain drain - najlepsi naukowcy emigrują za lepszymi warunkami, podnoszą stawki pozostali."
Krach Giełdowy,"Wszyscy gracze tracą połowę swoich Kredytów. Granty rządowe niedostępne w następnej rundzie.","Krach na giełdzie niszczy inwestycje naukowe i zmusza rządy do zamrożenia finansowania."
Atak Terrorystyczny,"Gracz z największą liczbą ukończonych badań traci jedno z nich (do wyboru). Bezpieczeństwo +2K/rundę dla wszystkich.","Terrorystyczny atak na instytucję naukową niszczy wyniki badań i zmusza do kosztownych środków bezpieczeństwa."
Spór Patentowy,"Wszyscy gracze nie mogą otrzymywać nagród dodatkowych z ukończonych badań w tej rundzie.","Masowe pozwy patentowe blokują komercjalizację odkryć naukowych i wstrzymują dodatkowe benefity."
Niedobór Zasobów,"Rozpoczęcie nowych badań kosztuje +2K. Konsorcja nie mogą być zakładane w tej rundzie.","Globalne niedobory surowców i materiałów laboratoryjnych drastycznie utrudniają nowe inicjatywy."
Rewolucja Polityczna,"Gracze z Reputacją powyżej 4 tracą 2 punkty Reputacji. Granty rządowe losowane, nie wybierane.","Zmiana władzy prowadzi do prześladowań elit naukowych i chaotycznego systemu finansowania."
Propaganda Anty-naukowa,"Wszyscy tracą 1 punkt Reputacji. Publikacje w tej rundzie nie dają PZ, tylko 1K każda.","Kampania dezinformacyjna podważa autorytet nauki w społeczeństwie, zmniejszając jej wartość."
Kryzys Demograficzny,"Nie można zatrudniać doktorantów w tej rundzie. Istniejący personel wymaga +1K pensji (starzenie społeczeństwa).","Starzenie się społeczeństwa ogranicza napływ młodych talentów i podnosi koszty personelu."
Kolaps Internetowy,"Nie można grać kart 'Możliwości' w tej rundzie. Współpraca w konsorcjach kosztuje +1 PA.","Awaria globalnej sieci internet paraliżuje komunikację naukową i utrudnia współpracę międzynarodową."
Rewolucja AI,"Badania fizyczne dają +1 heks, ale wszyscy tracą 2K (automatyzacja eliminuje część etatów).","Sztuczna inteligencja rewolucjonizuje badania fizyczne, ale jednocześnie eliminuje wiele tradycyjnych stanowisk."
