Tytul,Opis_Fabularny,Warunki_Poczatkowe,Harmonogram_Kryzysow,Warunki_Zwyciestwa,Limit_Rund,Modyfikatory_Rundy,Dodatkowe_Zasady
Wyscig do Marsa 2.0,"Na ekranach kontrolnych migaja telemetrie, a konferencje prasowe oglaszaja kolejne rekordy. Politycy obiecuja nowy rozdzial dla ludzkosci, lecz w laboratoriach decyduje pragmatyzm: czas, paliwo i budzet. Kazdy krok naprzod ma cene, kazde opoznienie ma konsekwencje. Mars jest blisko jak nigdy, ale wygrywa ten, kto utrzyma tempo i nie zgubi wizji po drodze.","Kazdy gracz: +3K na start; dobierz 1 karte 'Projekty Badawcze'.","Zapowiedzi: R2,R6; Kryzysy: R4,R8 (dobieraj z karty_kryzysy_rozszerzone.csv).","Po 10 rundach wygrywa najwyzsze PZ. Dodatkowo: jesli twoje konsorcjum ukonczy 'Mars Colony', otrzymujesz +10 PZ.",10,"Publikacje w 'Space Science' daja +1 PZ; pierwsze konsorcjum zalozone przez gracza kosztuje -1 PA.","Remis wygrywa gracz z wieksza liczba ukonczonych badan; nastepnie z wieksza liczba publikacji."
Pandemia Bez Konca,"Zmeczenie narasta, ale telefony dzwonia o kazdej porze, a wykresy wciaz pna sie w gore. Dzien zaczyna sie od briefingow i konczy na improwizowanych telekonferencjach, gdzie decyzje zapadaja szybciej niz kiedykolwiek. W tym chaosie liczy sie przeplyw informacji, zaufanie do zespolu i gotowosc do trudnych wyborow. Kazde male zwyciestwo to oddech dla tysiecy pacjentow.","Kazdy gracz: +1 Reputacja, +2 PB na start.","Zapowiedzi: R1,R4,R7; Kryzysy: R3,R6,R9.","Po 9 rundach najwyzsze PZ. Kazde ukonczone badanie biologiczne: +2 PZ dodatkowo.",9,"Pierwsze rozpoczete badanie biologiczne w rundzie kosztuje -1K; zatrudnienie doktoranta jest darmowe w R1-R2.","Jesli w dowolnej rundzie zaden gracz nie opublikuje artykulu - wszyscy traca 1 Reputacje (panika spoleczna)."
Zielona Rewolucja,"Lato grzeje jak nigdy, a zimowe wichury lamia kolejne rekordy. W odpowiedzi hale produkcyjne przestawiaja linie, a laboratoria testuja katalizatory, sorbenty i nowe materialy. Nie chodzi juz tylko o publikacje, lecz o technologie, ktore trafia na dachy, do kominow i na rynek. Tu nauka spotyka sie z przemyslem i polityka, a wynik czuje cala planeta.","Kazdy gracz: +5K na start; limit reki +1 karta (6).","Zapowiedzi: R3,R6; Kryzysy: R5,R8.","Po 10 rundach najwyzsze PZ. Publikacje w 'Green Chemistry' i badania chemiczne: +1 PZ kazde (premia ekoperspektywy).",10,"Rozpoczecie pierwszego badania chemicznego w rundzie kosztuje -1K; za ukonczenie badania placisz +1K (koszt neutralizacji).","W R7 granty daja +2K dodatkowo (pakiet zielonej odbudowy)."
AI Singularity,"Laboratoria pracuja jak orkiestry: algorytmy dobieraja probki, a roboty pipetuja bez wahania. Wraz z oszalamiajacym przyspieszeniem wracaja stare pytania: kto odpowiada za blad, co znaczy uczciwy wynik, jak budowac zaufanie. Liderzy, ktorzy potrafia polaczyc tempo z odpowiedzialnoscia, nadaja kierunek reszcie swiata.","Kazdy gracz: +1 karta Czasopisma, +2K.","Zapowiedzi: R2,R5; Kryzysy: R4,R7.","Po 9 rundach najwyzsze PZ. Fizyczne badania ukonczone: +1 PZ kazde (impakt technologiczny).",9,"Publikacja w 'AI & Robotics' daje dodatkowo +2K; pierwsze badanie fizyczne ukonczone w rundzie - +1 PB.","Jesli gracz ma Reputacje 5 na koniec rundy - dobiera 1 karte 'Mozliwosci'."
Kryzys Finansowy,"Telefon z dzialu finansowego nigdy nie dzwonil tak czesto. Znika sponsoring, wyparowuja zlecenia, a listy plac rosna co miesiac. Przetrwaja ci, ktorzy potrafia zamienic niedobor w strategie: upraszczac, renegocjowac, zwalniac tempo, kiedy trzeba, i przyspieszac, gdy pojawia sie szansa.","Kazdy gracz: +10K na start (ostatnia poduszka).","Zapowiedzi: R1,R3; Kryzysy: R2,R5.","Po 8 rundach zwycieza najwyzsze PZ. Dodatkowo: +1 PZ za kazde 5K niewydanych Kredytow (zaokraglone w dol).",8,"W R1 granty +4K; od R2 pensje +1K (stala podwyzka).","W R2 nie mozna brac grantow rzadowych (krach)."
Otwarte Horyzonty Nauki,"Bazy danych przestaja byc sejfami, a staja sie targowiskami pomyslow. Wspoldzielenie kodu i surowych wynikow rodzi chaos, ale i blyskawiczne replikacje. Gdy liczy sie wiarygodnosc i szybka wymiana, reputacja mierzy nie tylko cytowania, ale prawdziwa uzytecznosc pracy.","Kazdy gracz: dobierz 1 karte 'Mozliwosci' i 1 karte Czasopisma.","Zapowiedzi: R2,R6; Kryzysy: R4,R8.","Po 10 rundach najwyzsze PZ. Publikacje Open Access (Scientific Reports, PLoS ONE): +1 PZ kazde.",10,"Pierwsza publikacja w rundzie kosztuje -1 PB; limit reki +2 (7).","Karty 'Open Science' i 'Arxiv Preprint' daja dodatkowo +1 PB przy publikacji."
Wyscig o Lek Uniwersalny,"Karetki i zapach kawy o trzeciej nad ranem staja sie codziennoscia. Na tablicach zadan pojawiaja sie nazwiska pacjentow, a obok nich zrodla danych i protokoly prob klinicznych. To sciganie sie z czasem, ale tez test zaufania spolecznego i etyki. Sukces odmieni zycie milionow, porazka bedzie dlugo bolala.","Kazdy gracz: +1 Profesor (pensja standardowa), -3K na start (koszt wdrozenia).","Zapowiedzi: R3; Kryzys: R5.","Natychmiastowe zwyciestwo: ukoncz 'Universal Cure' jako kierownik. W przeciwnym razie po 10 rundach: najwyzsze PZ, +2 PZ za ukonczone badania biologiczne.",10,"Publikacje medyczne (NEJM, The Lancet): +1 PZ; akcja PUBLIKUJ daje dodatkowo +1K w R4-R6 (spoleczne wsparcie).","W R1 koszt zatrudnienia Profesora -1K (tylko raz na gracza)."
Quantum Net,"Na biurkach leza wlokna optyczne, a na sufitach wisza prototypy odbiornikow. Zespoly walcza z szumem, stratami i paradoksami, ktore jeszcze wczoraj byly tylko w podrecznikach. Jesli to zadziala, szyfr przestanie byc problemem, a odleglosc - przeszkoda. Stawka jest globalna, ale przewage zyskuje ten, kto zlozy wszystkie elementy pierwszy.","Kazdy gracz: +2K, +1 PB na start.","Zapowiedzi: R2; Kryzys: R4.","Po 9 rundach najwyzsze PZ. Ukonczenie 'Quantum Internet' przez twoje konsorcjum: +6 PZ dodatkowo.",9,"Pierwsze badanie fizyczne rozpoczete w rundzie kosztuje -1K; publikacje w 'Nature Physics' i 'Physical Review Letters' daja +1 PZ.","W R5 wszyscy dobieraja 1 karte 'Projekty Badawcze' (przelom technologiczny)."
Epoka Konsorcjow,"Korytarze pelne sa ludzi z roznych dziedzin, a w kalendarzach kroluja spotkania statusowe. Uzgadnianie standardow, podzial rol i transparentnosc finansow sa tak samo wazne jak wyniki w probowkach. To gra na zaufanie i cierpliwosc: prawdziwi liderzy potrafia laczyc ambicje z partnerstwem.","Kazdy gracz: otrzymuje 1 karte Konsorcjum (jesli talia na to pozwala) lub +2K zamiast tego.","Zapowiedzi: R3,R6; Kryzysy: R5,R8.","Po 10 rundach najwyzsze PZ. +3 PZ za bycie kierownikiem dowolnego ukonczonego Wielkiego Projektu.",10,"Zalozenie konsorcjum kosztuje -1 PA; skladki czlonkow daja +1K kazdemu czlonkowi w momencie wplaty (sponsoring).","W R7 kazdy gracz moze bez kosztu dolaczyc do 1 konsorcjum (razowo)."
Przetrwanie w Cieniu,"Zaczyna sie od drobnych opoznien i dziwnych awarii, a konczy na ciemnicy i ewakuacji. W takich warunkach planowanie to luksus, a improwizacja staje sie sztuka. Wygrywaja zespoly, ktore potrafia oceniac ryzyko, zabezpieczac priorytety i nie tracic ducha, gdy wszystko idzie nie tak.","Kazdy gracz: +2K, +1 Reputacja; limit reki 5.","Zapowiedzi: R1,R2,R4,R6; Kryzysy: R3,R5,R7,R8.","Po 8 rundach zwycieza gracz z nieujemnym K, najwyzszym PZ, a w razie remisu - z wieksza liczba ukonczonych badan.",8,"W kazdej rundzie, jesli gracz nie ma srodkow na pensje, pierwszy raz w grze traci 1 Reputacje (standard), kolejne braki nie zmniejszaja Reputacji.","Publikacje IF>=6 daja +1 Reputacje (kumuluje sie z innymi zrodlami)."
