Nazwa,Wymagania,Cel,Nagroda,Runda_Bonus,Opis
Grant Startup,Brak wymagań,10 punktów aktywności,8K,+2K/rundę,"Podstawowe finansowanie dla początkujących badaczy bez względu na doświadczenie."
Grant Badawczy,Min. 1 doktor,2 publikacje,12K,+2K/rundę,"Standardowy grant na prowadzenie projektów badawczych z publikowaniem wyników."
Grant AI Fizyczny,Min. 1 naukowiec fizyk,Ukończ 1 badanie fizyczne,14K,+2K/rundę,"Specjalistyczne finansowanie zaawansowanych badań z dziedziny fizyki."
Grant Biologiczny,Min. 1 naukowiec biolog,Ukończ 1 badanie biologiczne,14K,+2K/rundę,"Finansowanie projektów z zakresu nauk biologicznych i medycznych."
Grant Chemiczny,Min. 1 naukowiec chemik,Ukończ 1 badanie chemiczne,14K,+2K/rundę,"Wsparcie dla innowacyjnych badań w dziedzinie chemii i materiałoznawstwa."
Grant Współpracy,Brak wymagań,Załóż konsorcjum,15K,+2K/rundę,"Promocja współpracy międzynarodowej w nauce poprzez tworzenie konsorcjów."
Grant Prestiżowy,Min. Reputacja 4,Publikacja w Nature/Science (4+ PZ z publikacji),18K,+2K/rundę,"Elitarne finansowanie dla najbardziej szanowanych instytucji naukowych."
Grant Europejski,Brak wymagań,"Zdobądź 15 PO [Konsorcjum +6 PO, Publikacja +3 PO, Badanie fizyczne +4 PO, Zatrudnienie fizyka +2 PO]",16K,+2K/rundę,"Program ramowy UE wspierający międzynarodową współpracę naukową."
Grant MIT Advanced,Min. 1 profesor,"Zdobądź 20 PO [Badanie fizyczne +7 PO, Publikacja +5 PO, Zatrudnienie profesora +3 PO, Heks na badaniu +1 PO]",20K,+2K/rundę,"Zaawansowane finansowanie dla wiodących instytucji technologicznych."
Grant Max Planck,Min. Reputacja 4,"Zdobądź 25 PO [Publikacja +6 PO, Ukończenie badania +5 PO, Reputacja +1 = +4 PO, Zatrudnienie profesora +4 PO]",22K,+2K/rundę,"Finansowanie dla instytucji o najwyższych standardach naukowych."
Grant Kryzysowy,Brak wymagań,Utrzymaj wszystkie pensje w rundzie kryzysu,10K,+2K/rundę,"Awaryjne wsparcie finansowe w czasach globalnych problemów."
Grant Resilience,Min. 2 naukowców,5 ukończonych badań,30K,+2K/rundę,"Nagroda za wykazanie się długoterminową wydajnością badawczą."
Grant Technologiczny,Min. 1 profesor,2 ukończone badania,16K,+2K/rundę,"Finansowanie dla zespołów z doświadczonym kierownictwem naukowym."
Grant Interdyscyplinarny,Naukowcy z 2 różnych dziedzin,1 badanie z każdej dziedziny,24K,+2K/rundę,"Wsparcie dla nowatorskich projektów łączących różne dyscypliny."
Grant Młodych Talentów,Min. 3 doktorantów,8 punktów aktywności + 1 publikacja,14K,+2K/rundę,"Program rozwoju młodej kadry naukowej."
Grant Doskonałości,Min. Reputacja 6,4 publikacje + 2 ukończone badania,32K,+2K/rundę,"Najwyższe wyróżnienie dla instytucji o światowej klasie."
Grant Innowacyjny,Min. 1 badanie ukończone,3 nowe badania w tej rundzie,18K,+2K/rundę,"Finansowanie ambitnych planów ekspansji badawczej."
Grant Społeczny,Min. Reputacja 3,2 publikacje + Min. Reputacja 4,16K,+2K/rundę,"Wsparcie dla badań o wysokim wpływie społecznym."
Grant Przemysłowy,Min. 1 naukowiec chemik lub fizyk,Ukończ badanie + 5K własnej inwestycji,20K,+2K/rundę,"Partnerstwo publiczno-prywatne w finansowaniu innowacji."
Grant Międzynarodowy,Min. 1 konsorcjum,Członkostwo w 2 konsorcjach,20K,+2K/rundę,"Promocja globalnej współpracy naukowej."
Grant Obronny,Min. Reputacja 3,2 badania fizyczne,22K,+2K/rundę,"Finansowanie badań o znaczeniu strategicznym dla bezpieczeństwa."
Grant Medyczny,Min. 1 naukowiec biolog,2 badania biologiczne + 1 publikacja,24K,+2K/rundę,"Specjalistyczne wsparcie dla badań medycznych i biotechnologicznych."
Grant Zielony,Min. 1 naukowiec chemik,Ukończ badanie chemiczne + Min. Reputacja 3,18K,+2K/rundę,"Finansowanie badań nad zrównoważonym rozwojem i ochroną środowiska."
Grant Kosmiczny,Min. 1 naukowiec fizyk,2 badania fizyczne + członkostwo w konsorcjum,26K,+2K/rundę,"Wsparcie dla ambitnych projektów eksploracji kosmosu."
Grant Kwantowy,Min. 1 professor fizyki,Ukończ badanie fizyczne + 10K inwestycji,28K,+2K/rundę,"Finansowanie przełomowych badań nad technologiami kwantowymi."
Grant Genomiczny,Min. 1 professor biologii,3 badania biologiczne,30K,+2K/rundę,"Wsparcie dla zaawansowanych badań genetycznych i genomicznych."
Grant Startupowy,Min. 1 ukończone badanie,"Zdobądź 12 PO [Ukończenie badania +4 PO, Publikacja +3 PO, Zatrudnienie doktora +2 PO, Konsorcjum +3 PO]",15K,+2K/rundę,"Finansowanie dla komercjalizacji odkryć naukowych."
Grant Edukacyjny,Min. 2 doktorantów,6 punktów aktywności + 2 publikacje,16K,+2K/rundę,"Wsparcie dla instytucji o silnym profilu edukacyjnym."
Grant Regionalny,Brak wymagań,1 badanie + 1 publikacja + 6 punktów aktywności,13K,+2K/rundę,"Lokalny program wsparcia dla mniejszych instytucji badawczych."
Grant Venture,Min. 1 badanie ukończone,2 nowe badania + 6K inwestycji,22K,+2K/rundę,"Wysokie finansowanie dla zespołów z udowodnionym potencjałem."
Grant Klimatyczny,Min. 1 naukowiec chemik lub biolog,2 badania + członkostwo w konsorcjum,24K,+2K/rundę,"Finansowanie badań nad zmianami klimatycznymi."
Grant Cyfrowy,Min. 1 naukowiec fizyk,Badanie fizyczne + 2 publikacje,20K,+2K/rundę,"Wsparcie dla badań nad technologiami cyfrowymi."
Grant Strategiczny,Min. Reputacja 5,3 ukończone badania + 2 konsorcja,35K,+2K/rundę,"Najwyższy poziom finansowania dla kluczowych projektów narodowych."
Grant Eksperymentalny,Min. 2 naukowców różnych dziedzin,4 punkty aktywności + ukończ badanie,16K,+2K/rundę,"Wsparcie dla niestandardowych podejść badawczych."
Grant Infrastrukturalny,Min. 10K własnych środków,Zainwestuj 10K + ukończ badanie,25K,+2K/rundę,"Finansowanie rozwoju infrastruktury badawczej."
Grant Talent,Brak wymagań,"Zdobądź 10 PO [Zatrudnienie doktora +4 PO, Zatrudnienie profesora +6 PO, Rozpoczęcie badania +2 PO]",12K,+2K/rundę,"Program przyciągania najlepszych talentów."
Grant Aplikacyjny,Min. 1 ukończone badanie,"Zdobądź 18 PO [Ukończenie badania +5 PO, Publikacja +4 PO, Zatrudnienie profesora +4 PO, Konsorcjum +5 PO]",28K,+2K/rundę,"Finansowanie praktycznego zastosowania wyników badań."
Grant Przyszłości,Min. 1 professor,Rozpocznij 3 nowe badania w tej rundzie,26K,+2K/rundę,"Inwestycja w długoterminowy rozwój naukowy."
Grant Synergii,Min. 2 konsorcja,Członkostwo w 3 konsorcjach + 1 publikacja,30K,+2K/rundę,"Nagroda za wykazanie się szeroką współpracą naukową."
Grant Excelence Plus,Min. Reputacja 7,6 publikacji + 3 ukończone badania,40K,+2K/rundę,"Najwyższe wyróżnienie dla absolutnej elity naukowej."
Grant Revolución,Min. 2 profesorów,4 ukończone badania + 2 konsorcja,38K,+2K/rundę,"Finansowanie dla zespołów przeprowadzających naukową rewolucję."
Grant Mega-Projekt,Min. 1 konsorcjum własne,Ukończ Wielki Projekt,45K,+2K/rundę,"Wsparcie dla realizacji najbardziej ambitnych celów ludzkości."
Grant Legacy,Min. Reputacja 6,5 ukończonych badań + 4 publikacje,42K,+2K/rundę,"Finansowanie dla badaczy budujących trwałe dziedzictwo naukowe."
Grant Unlimited,Min. 3 profesorów,8 ukończonych badań,50K,+2K/rundę,"Praktycznie nieograniczone finansowanie dla absolutnych liderów nauki."
Grant Końca Czasów,Min. Reputacja 8,10 ukończonych badań + 8 publikacji,60K,+2K/rundę,"Legendarny grant dla tych, którzy przekroczyli wszystkie granice nauki."
Grant Phoenix,Min. 2 straconych naukowców w poprzedniej rundzie,Zatrudnij 3 naukowców + 1 publikacja,20K,+2K/rundę,"Wsparcie dla odbudowy po dramatycznych stratach personalnych."
Grant Comeback,Max. Reputacja 1,Osiągnij Min. Reputację 4 + ukończ badanie,25K,+2K/rundę,"Program rehabilitacji dla instytucji po kryzysach wizerunkowych."
Grant Trinity,Naukowcy ze wszystkich 3 dziedzin,Po 1 badaniu z każdej dziedziny,36K,+2K/rundę,"Nagroda za osiągnięcie pełnej interdyscyplinarności."
Grant Eternal,Min. 5 ukończonych badań,Nie trać żadnego naukowca przez 3 rundy,32K,+2K/rundę,"Finansowanie dla zespołów wykazujących się stabilnością i lojalnością."
Grant Domination,Min. 4 konsorcja,Przewodź 2 konsorcjom + ukończ Wielki Projekt,55K,+2K/rundę,"Najwyższa nagroda dla absolutnych hegemonów współpracy naukowej."
