Nazwa,Zasoby_Startowe,Reputacja_Start,Specjalizacja_Bonus,Specjalna_Zdolność,Opis
"MIT (Massachusetts Institute of Technology)","8K, 2 PZ",3,"+1 heks przy badaniach fizycznych","Może zatrudnić 4. naukowca bez kary przeciążenia","Wiodąca uczelnia techniczna świata, gdzie innowacje technologiczne rodzą się codziennie."
"CERN (European Organization for Nuclear Research)","6K, 4 PZ",3,"Konsorcja kosztują -1 PA","Granty wymagające członkostwa w konsorcjum są zawsze dostępne","Największe laboratorium fizyki cząstek na świecie, symbol międzynarodowej współpracy naukowej."
"Max Planck Institute","7K, 3 PZ",3,"+1 PB za każde ukończone badanie","Limit ręki +2 karty (7 zamiast 5)","Niemiecki instytut badań podstawowych o najwyższych standardach naukowych."
"Harvard University","10K, 1 PZ",3,"+1 punkt Reputacji za publikację w czasopismach IF 6+","Może zatrudnić 5. naukowca bez kary przeciążenia","Najstarsza i najbardziej prestiżowa uczelnia Ameryki, kolebka elit naukowych."
"University of Cambridge","7K, 3 PZ",4,"+2K za każde ukończone badanie","Wszystkie publikacje dają +1 PZ","800-letnia tradycja doskonałości naukowej i wychowania geniuszy."
"Stanford University","9K, 2 PZ",3,"+1 heks przy badaniach fizycznych","Karty Okazji dają podwójne bonusy","Serce Doliny Krzemowej, gdzie nauka spotyka się z przedsiębiorczością."
"University of Tokyo","6K, 3 PZ",3,"+1 heks przy badaniach chemicznych","Pensje wszystkich naukowców -1K","Wiodąca uczelnia Azji, łącząca tradycję z nowoczesnymi technologiami."
"ETH Zurich","8K, 2 PZ",4,"+1 heks przy pierwszym badaniu każdej rundy","Granty dają +2K dodatkowej nagrody","Szwajcarski instytut techniczny - kuźnia inżynierów i wynalazców."
"Sorbonne University","5K, 4 PZ",3,"+1 punkt Reputacji za każde konsorcjum","Odporność na karty Intryg: raz na rundę może zignorować kartę Intryg","Paryski symbol europejskiej tradycji intelektualnej i humanistycznej."
"Beijing University","7K, 2 PZ",2,"+2K za każdą publikację","Stabilność: raz na rundę może zignorować kartę Kryzysu","Najstarsza uczelnia Chin, mostek między Wschodem a Zachodem w nauce."
